com.oppo.market | App market
com.google.ar.core | Google AR
com.nearme.browser | Stock Browser
com.oppo.qualityprotect | Bloat
com.google.android.apps.wellbeing | Digital Wellbeing
com.facebook.system | Facebook
com.facebook.services | Facebook services
com.colouros.gamespace | Game Centre
com.google.android.googlequick | Bloat
com.android.providers.partnerbookmarks | Bloat
com.android.bookmarkprovider | Bookmark Provider
com.google.android.partnersetup | Bloat
com.android.wallpaperbackup | Bloat
com.android.printspooler | Phone printng
com.android.wallpaper.livepicker | Bloat
com.android.calllogbackup | Call Log Backup
com.google.android.tts | Text-to-speech
com.google.android.feedback | Bloat
com.google.android.printservice.recommendation | Bloat
com.android.bips | Bloat
com.google.android.googlequicksearchbox | Search box
com.google.android.setupwizard | Bloat
com.coloros.assistantscreen | Smart Assistant
com.nearme.themestore | Theme Store
com.coloros.weather.service | Weather
com.coloros.weather2 | Weather
com.nearme.statistics.rom | UEP
com.android.chrome | Chrome
com.ted.number | Number ID
com.oppo.quicksearchbox | Search Box
com.oppo.usercenter | Bloat
com.coloros.phonenoareainquire | Bloat
com.android.cellbroadcastreceiver | Cell Broadcast
com.facebook.appmanager | Facebook
com.google.android.apps.chrome.Main | Chrome
com.coloros.video | Videos
com.coloros.pictorial | Magazine
com.oppo.music | Music
com.heytap.pictorial | Magazine
com.google.android.apps.youtube.music | Youtube Music
com.coloros.onekeylockscreen | Heytap Lockscreen
com.heytap.cloud | Cloud
com.nearme.atlas | Atlas 
com.google.android.videos | Play Movies
com.heytap.market | App market
com.heytap.usercenter | Bloat
com.google.android.projection.gearhead | Android Auto
com.opera.branding.news | Opera News
com.realme.securitycheck | Bloat 
com.coloros.backuprestore | Clone
com.heytap.themestore | Theme Store
com.heytap.browser | Browser
com.coloros.securepay | Payment
com.coloros.oppomultiapp | Bloat
com.redteamobile.roaming.deamon | Bloat
com.coloros.compass2 | Compass
com.oppo.partnerbrowsercustomizations | Bloat
com.coloros.soundrecorder | Sound Recorder
com.google.android.youtube | YouTube
com.oppo.launcher | Launcher
com.google.android.keep | Keep Notes
com.google.android.apps.docs | Drive
com.android.mms | MMS
com.android.mms.service | MMS
com.android.printspooler | MobilePrintingservice
com.android.providers.partnerbookmarks | Bloat
com.android.sharedstoragebackup | Bloat
com.android.statementservice | Bloat
com.android.stk | SIMToolkit
com.android.wallpaperbackup | Bloat
com.caf.fmradio | FM Radio
com.coloros.activation | Bloat
com.coloros.activation.overlay.common | Bloat
com.coloros.appmanager | App Manager
com.coloros.assistantscreen | SmartAssistant
com.coloros.athena | Bloat
com.coloros.avastofferwall | Bloat
com.coloros.backuprestore.remoteservice | Bloat
com.coloros.bootreg | Bloat
com.coloros.calculator | Calculator
com.coloros.childrenspace | Children Space
com.coloros.encryption | Bloat
com.coloros.filemanager | File Manager
com.coloros.floatassistant | Bloat
com.coloros.focusmode | Focus Mode
com.coloros.gallery3d | Gallery
com.coloros.gamespace | Game Space
coloros.gamespaceui | Game Space
com.coloros.healthcheck | Bloat
com.coloros.ocrscanner | Bloat
com.coloros.oppomultiapp | Bloat
com.coloros.oshare  | Bloat
com.coloros.phonemanager | Phone Manager
com.coloros.resmonitor | Bloat
com.coloros.safesdkproxy | Bloat
com.coloros.sauhelper  | Bloat
com.coloros.sceneservice | Bloat
com.coloros.screenrecorder | ScreenRecorderapp
com.coloros.securepay | Bloat
com.coloros.smartdrive | Bloat
com.coloros.soundrecorder | VoiceRecorder
com.coloros.speechassist | Bloat
com.coloros.translate.engine | Bloat
com.coloros.wallet | Bloat
com.coloros.weather2 | Weather
com.coloros.weather.service | Weather
com.coloros.widget.smallweather | Weatherwidget
com.coloros.wifibackuprestore | Bloat
com.dropboxchmod | Bloat
com.dsi.ant.server | ANTHALService
com.google.android.apps.restore | Bloat
com.google.android.apps.tachyon  |  GoogleDuo
com.google.android.calendar  |  GoogleCalendar
com.google.android.onetimeinitializer | Bloat
com.google.android.partnersetup | Bloat
com.google.android.printservice.recommendation  | Bloat
com.google.android.tag | Bloat
com.google.android.tts  |  Text-to-speech
com.google.android.youtube  |  YouTube
com.google.android.gm | Gmail
com.google.android.gms | Gmail
com.google.android.gms.location.history | Gmail
com.google.android.gmsintegration | Gmail
com.oppo.aod | Bloat
com.oppo.bttestmode | Bloat
com.oppo.criticallog | Bloat
com.oppo.decrypt | Bloat
com.oppo.engineermode | Bloat
com.oppo.engineermode.camera | Bloat
com.oppo.engineermode.network | Bloat
com.oppo.gmail.overlay | Bloat
com.oppo.lfeh | Bloat
com.oppo.logkit | Bloat
com.oppo.market | RealmeAppMarket
com.oppo.mimosiso | Bloat
com.oppo.music | Music
com.oppo.nw | Bloat
com.oppo.operationManual | Bloat
com.oppo.oppopowermonitor | Bloat
com.oppo.ovoicemanager | Bloat
com.oppo.sos | Emergencycallapp
com.oppo.startlogkit | Bloat
com.oppo.usageDump | Bloat
com.oppo.webview | Bloat
com.oppo.wifirf | Bloat
com.oppo.wifisniffer | Bloat
com.oppoex.afterservice | Bloat
com.oppo.quicksearchbox | Bloat
com.oppo.ScoreAppMonitor | Bloat
com.oppoex.afterservice | Bloat
com.qualcomm.qti.modemtestmode | Bloat
com.qualcomm.qti.remoteSimlockAuth | Bloat
com.qualcomm.uimremoteclient | Bloat
com.qualcomm.uimremoteserve | Bloat
com.mediatek.omacp | Bloat
com.mobiletools.systemhelper | Bloat
com.nearme.atlas  | Bloat
com.nearme.browser | ColorOS’sBrowser
com.nearme.gamecenter | GameCenter
com.nearme.themestore | Theme Store
com.opera.preinstall | Bloat
com.realme.logtool | Bloat
com.redteamobile.roaming | Bloat
com.redteamobile.roaming.deamon | Bloat
com.ted.number | Bloat
com.tencent.soter.soterserver | Bloat
org.kman.AquaMail | Bloat
